FEATURE_ID|FEATURE_NAME|FEATURE_CLASS|CENSUS_CODE|CENSUS_CLASS_CODE|GSA_CODE|OPM_CODE|STATE_NUMERIC|STATE_ALPHA|COUNTY_SEQUENCE|COUNTY_NUMERIC|COUNTY_NAME|PRIMARY_LATITUDE|PRIMARY_LONGITUDE|DATE_CREATED|DATE_EDITED
431367|Boston|Populated Place|06652|P1|0420|180420177|18|IN|1|177|Wayne|39.7411601|-84.8519034|02/14/1979|03/20/2008
431369|Boston Corner|Populated Place|06688|U6|||18|IN|1|003|Allen|40.9483814|-84.9002427|02/14/1979|
431372|Boswell|Populated Place|06706|P1|0430|180430007|18|IN|1|007|Benton|40.5211476|-87.3783507|02/14/1979|03/20/2008
431379|Boundary City|Populated Place|06735|U6|||18|IN|1|075|Jay|40.3444896|-84.9219103|02/14/1979|
431382|Bourbon|Populated Place|06760|P1|0440|180440099|18|IN|1|099|Marshall|41.2956002|-86.1163889|02/14/1979|03/20/2008
431396|Bowers|Populated Place|06796|U6|||18|IN|1|107|Montgomery|40.156983|-86.7247279|02/14/1979|04/11/2014
431401|Bowerstown|Populated Place|06814|U6|||18|IN|1|069|Huntington|40.8886571|-85.4424751|02/14/1979|
431404|Bowling Green|Populated Place|06832|U6|0450|180450021|18|IN|1|021|Clay|39.3830983|-87.0116791|02/14/1979|04/11/2014
431405|Bowman|Populated Place|06868|U6|||18|IN|1|125|Pike|38.4964374|-87.3469602|02/14/1979|
431406|Bowman Acres|Populated Place|06886|U6|||18|IN|1|059|Hancock|39.7619876|-85.7674782|02/14/1979|
431418|Boxley|Populated Place|06904|U6|||18|IN|1|057|Hamilton|40.1661483|-86.1755472|02/14/1979|
431420|Boyd|Populated Place|06915|U6|||18|IN|1|139|Rush|39.7186563|-85.5510851|02/14/1979|
431430|Boyleston|Populated Place|06922|U6|0452|180452023|18|IN|1|023|Clinton|40.2864255|-86.3947214|02/14/1979|04/11/2014
431433|Bracken|Populated Place|06940|U6|||18|IN|1|069|Huntington|40.9867121|-85.6238701|02/14/1979|
431434|Bradfield Corner|Populated Place|06950|U6|||18|IN|1|121|Parke|39.7322614|-87.2989047|02/14/1979|
431435|Bradford|Populated Place|06958|U6|0454|180454061|18|IN|1|061|Harrison|38.3678417|-86.0619169|02/14/1979|
431458|Braysville|Populated Place|07135|U6|||18|IN|1|119|Owen|39.2117117|-86.7744498|02/14/1979|
431459|Braysville|Populated Place|07130|U6|||18|IN|1|029|Dearborn|39.2881097|-84.8696758|02/14/1979|
431461|Braytown|Populated Place|07156|U6|||18|IN|1|155|Switzerland|38.7306174|-85.1585638|02/14/1979|
431462|Brazil|Populated Place|07174|P1|0460|180460021|18|IN|1|021|Clay|39.523652|-87.1250154|02/14/1979|04/11/2014
431467|Breckenridge|Populated Place|07228|U6|||18|IN|1|061|Harrison|38.2178464|-86.0330241|02/14/1979|
431474|Breezy Point|Populated Place|07300|U6|||18|IN|1|015|Carroll|40.6919828|-86.7530665|02/14/1979|
431479|Bremen|Populated Place|07318|P1|0470|180470099|18|IN|1|099|Marshall|41.446436|-86.148058|02/14/1979|04/11/2014
431480|Brems|Populated Place|07336|U6|||18|IN|1|149|Starke|41.3392084|-86.6975168|02/14/1979|
431481|Brendan Wood|Populated Place|07354|U4|||18|IN|1|011|Boone|40.0672629|-86.4688899|02/14/1979|
431482|Brendonwood|Populated Place|07372|U4|||18|IN|1|097|Marion|39.8578181|-86.0638737|02/14/1979|
431483|Brent Woods|Populated Place|07408|U4|||18|IN|1|145|Shelby|39.5383812|-85.7569233|02/14/1979|
431486|Brentwood|Populated Place|07390|U4|||18|IN|1|095|Madison|40.0975413|-85.7152545|02/14/1979|
431491|Bretzville|Populated Place|07426|U6|||18|IN|1|037|Dubois|38.2994989|-86.8730503|02/14/1979|04/11/2014
431498|Brewersville|Populated Place|07444|U6|||18|IN|1|079|Jennings|39.0844975|-85.6116373|02/14/1979|04/11/2014
431504|Briarwood|Populated Place|07498|U6|||18|IN|1|109|Morgan|39.5508803|-86.5066639|02/14/1979|
431505|Brice|Populated Place|07516|U6|||18|IN|1|075|Jay|40.4181012|-84.8963544|02/14/1979|
431517|Bridgeport|Populated Place|07545|U6|||18|IN|1|061|Harrison|38.176181|-85.9063539|02/14/1979|
431518|Bridgeport|Populated Place|07552|U4|0472|180472097|18|IN|1|097|Marion|39.732267|-86.3172136|02/14/1979|
431520|Bridgeton|Populated Place|07570|U6|0473|180473121|18|IN|1|121|Parke|39.6450406|-87.1775148|02/14/1979|
431523|Brierwood Hills|Populated Place|07588|U6|||18|IN|1|003|Allen|41.0553257|-85.2341392|02/14/1979|
431524|Briggs|Populated Place|07606|U6|||18|IN|1|183|Whitley|41.085602|-85.4702558|02/14/1979|
431525|Bright|Populated Place|07624|U5|||18|IN|1|029|Dearborn|39.2183885|-84.8560633|02/14/1979|03/20/2008
431527|Brighton|Populated Place|07642|U6|||18|IN|1|087|LaGrange|41.7222725|-85.3110874|02/14/1979|
431529|Brimfield|Populated Place|07678|U6|0478|180478113|18|IN|1|113|Noble|41.4542161|-85.3980348|02/14/1979|
431531|Bringhurst|Populated Place|07714|U6|0479|180479015|18|IN|1|015|Carroll|40.5253139|-86.5249984|02/14/1979|04/11/2014
431533|Brisco|Populated Place|07745|U6|||18|IN|1|171|Warren|40.4111477|-87.3583482|02/14/1979|
431536|Bristol|Populated Place|07750|P1|0480|180480039|18|IN|1|039|Elkhart|41.721439|-85.8174946|02/14/1979|04/11/2014
431548|Broadmoor|Populated Place|07804|U4|||18|IN|1|097|Marion|39.8489306|-86.2141561|02/14/1979|
431549|Broadview|Populated Place|07876|U6|0490|180490105|18|IN|1|105|Monroe|39.1397696|-86.5383303|02/14/1979|
431563|Brook|Populated Place|07966|P1|0510|180510111|18|IN|1|111|Newton|40.8664258|-87.3636368|02/14/1979|05/12/2014
431570|Brookfield|Populated Place|07984|U6|||18|IN|1|145|Shelby|39.6378239|-85.9427597|02/14/1979|
431571|Brookhaven|Populated Place|08002|U6|||18|IN|1|053|Grant|40.5197627|-85.6158092|02/14/1979|
431572|Brooklyn|Populated Place|08038|P1|0520|180520109|18|IN|1|109|Morgan|39.5392141|-86.3691598|02/14/1979|03/20/2008
431575|Brookmoor|Populated Place|08056|U6|||18|IN|1|109|Morgan|39.567547|-86.3747155|02/14/1979|
431582|Brookside Estates|Populated Place|08110|U6|||18|IN|1|003|Allen|41.1467155|-85.0791364|02/14/1979|
431585|Brookston|Populated Place|08146|P1|0540|180540181|18|IN|1|181|White|40.6028144|-86.8672339|02/14/1979|03/20/2008
431586|Brookville|Populated Place|08182|P1|0550|180550047|18|IN|1|047|Franklin|39.4231065|-85.0127376|02/14/1979|05/12/2014
431587|Brookville Heights|Populated Place|08218|U6|||18|IN|1|059|Hancock|39.7244881|-85.9066473|02/14/1979|
431589|Broom Hill|Populated Place|08272|U6|||18|IN|1|019|Clark|38.4489519|-85.8774685|02/14/1979|
431626|Brown Jug Corner|Populated Place|08398|U6|||18|IN|1|167|Vigo|39.2880961|-87.2589049|02/14/1979|
431641|Browns Crossing|Populated Place|08434|U6|||18|IN|1|109|Morgan|39.406436|-86.5055524|02/14/1979|
